date,HKQuantityTypeIdentifierActiveEnergyBurned,HKQuantityTypeIdentifierBasalEnergyBurned,HKQuantityTypeIdentifierDistanceWalkingRunning,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingSpeed,HKQuantityTypeIdentifierWalkingStepLength
2023-04-04,24.988,845.8580000000001,0.72899877,1847.0,2.29659,22.703366666666668
2023-04-05,142.52,1448.645,2.2666342299999998,5749.0,2.243107586206897,22.278006896551723
2023-04-06,43.465,3138.49,0.97929377,3487.0,2.0404747826086957,19.958886956521738
2023-04-08,,748.371,,,,
2023-04-09,20.511,1396.005,0.38680326,1346.0,1.9293583333333333,18.733558333333335
2023-04-10,54.268,1405.852,1.09705191,3918.0,1.9024614285714285,19.741242857142858
2023-04-11,25.846,1390.261,0.55845738,2081.0,2.006532,19.64563
2023-04-12,35.597,1388.908,0.811883576,3050.0,1.8888692,19.212568
2023-04-13,32.402,1364.455,0.80842707,2987.0,1.9441009090909092,19.41656818181818
2023-04-14,34.424,1394.06,0.886733978,3226.0,2.050990625,20.62004375
2023-04-15,35.451,1399.622,0.8430516299999999,3128.0,1.8293168888888889,18.657005555555557
2023-04-16,32.972,1405.005,0.83726039,3014.0,1.9074963636363635,18.647063636363637
2023-04-17,52.016,1376.353,1.025404948,3966.0,2.0347176,19.810988
2023-04-18,76.345,1395.753,1.45750497,5393.0,2.002443448275862,19.589975862068965
2023-04-19,74.18,1388.143,1.27266524,4803.0,1.9955826315789473,19.809336842105264
2023-04-20,67.245,1392.207,1.50089316,5033.0,2.0435070588235296,19.499729411764708
2023-04-21,82.693,1408.921,1.772154354,6610.0,1.9116485416666666,19.217483333333334
2023-04-22,92.712,1396.001,1.73455082,6424.0,2.0071422727272727,19.819218181818183
2023-04-23,37.461,1392.62,0.88560921,3327.0,1.841745,18.241433333333333
2023-04-24,81.468,1396.647,1.49655945,5451.0,1.9163097435897436,18.94807435897436
2023-04-25,48.792,1438.45,1.00428223,3468.0,2.0455538888888887,20.691127777777776
2023-04-26,36.308,1331.5049999999999,0.809317136,2903.0,1.9859022222222222,19.75062222222222
2023-04-27,38.812,1441.686,0.960283391,3594.0,2.154523157894737,21.612073684210525
2023-04-28,151.051,1387.432,2.4113406889999998,9031.0,2.100235,21.817549999999997
2023-04-29,28.925,1400.717,0.643771125,2293.0,1.8608500000000001,18.06099375
2023-04-30,134.564,1394.904,2.794982461,10810.0,1.9077266415094338,18.912460377358492
2023-05-01,346.20300000000003,1463.658,3.67860607,14090.0,2.0132430882352943,19.488151470588235
2023-05-02,69.549,1408.536,1.52695139,5567.0,1.9355381578947368,18.959763157894738
2023-05-03,38.902,1455.742,1.02935933,3796.0,1.7915818181818182,18.86180909090909
2023-05-04,50.922,1352.521,1.037099527,3991.0,1.8191076785714286,18.236750714285712
2023-05-05,55.443999999999996,1390.828,1.206305,4378.0,1.9446912903225808,19.2405064516129
2023-05-06,34.46,1401.573,0.7482738529999999,2730.0,1.9237657692307693,18.83703076923077
2023-05-07,71.511,1383.189,1.727208895,5994.0,1.9253262790697674,18.943379069767442
2023-05-08,52.764,1382.496,1.29709474,4725.0,2.0305286363636363,19.714166666666667
2023-05-09,85.563,1424.037,1.78820357,6192.0,1.910438936170213,19.174031914893614
2023-05-10,34.901,1375.051,0.992646272,3598.0,1.999394761904762,19.853733333333334
2023-05-11,66.596,1420.733,1.4134422899999999,5004.0,1.9288164516129034,18.8087
2023-05-12,62.098,1411.604,1.355035196,5382.0,1.8778492105263158,18.597144736842107
2023-05-13,70.048,1379.403,1.541024011,5634.0,1.8910715384615384,19.291302564102565
2023-05-14,35.339,1420.959,0.77301698,2778.0,1.8771625,18.471091666666666
2023-05-15,45.075,1425.273,1.42108058,4936.0,1.8602993023255814,18.275004651162792
2023-05-16,57.064,1384.745,1.21644287,4058.0,1.9132793750000001,19.303603125
2023-05-17,41.237,1411.372,0.945434907,3507.0,1.9181728571428571,19.74124642857143
2023-05-18,82.372,1421.816,1.713350354,5670.0,1.7086249999999998,17.670185294117648
2023-05-19,37.342999999999996,1383.795,0.918262386,3330.0,1.8652607692307692,18.42818846153846
2023-05-20,75.241,1425.369,1.623063892,5697.0,2.1595046153846154,21.39608846153846
2023-05-21,33.641999999999996,1370.181,0.85380105,3181.0,1.782838,17.95272
2023-05-22,49.319,1400.031,1.200372637,4128.0,2.0262309677419355,19.913609677419355
2023-05-23,73.611,1398.583,1.49099318,5383.0,1.963177857142857,19.300678571428573
2023-05-24,62.192,1397.676,1.45773632,5427.0,2.05798175,20.17713
2023-05-25,117.828,1406.885,2.26218896,7893.0,1.8811366981132074,19.009030188679247
2023-05-26,76.04899999999999,1393.452,1.740070811,6032.0,1.902095,18.909903125
2023-05-27,49.536,1392.359,1.049855258,3609.0,1.9857886363636366,19.846068181818183
2023-05-28,42.134,1391.166,0.995517505,3468.0,1.9498633333333333,19.370043333333335
2023-05-29,95.547,1445.079,1.786655063,6486.0,2.034521268292683,20.00188536585366
2023-05-30,53.456,1364.884,1.107494436,3932.0,2.022829428571429,20.101205714285715
2023-05-31,49.175000000000004,1388.397,1.0877043309999999,3860.0,2.013920909090909,19.9952
2023-06-01,86.328,1402.11,1.70217863,5994.0,2.028318043478261,20.301239130434784
2023-06-02,38.259,1403.522,0.941942722,3471.0,1.9371870000000002,19.685015
2023-06-03,134.505,1419.51,2.609320757,9571.0,1.9461340322580645,19.342104838709677
2023-06-04,47.511,1393.124,1.114273956,3795.0,1.7876841666666667,17.191566666666667
2023-06-05,119.088,1437.594,2.4710026199999997,8757.0,1.9360460784313724,19.430258823529414
2023-06-06,79.436,1396.545,1.768218857,6368.0,1.914115294117647,19.337623529411765
2023-06-07,56.956,1393.493,1.3775535,5012.0,2.0199527500000003,19.645635000000002
2023-06-08,137.853,1413.555,2.519958434,9538.0,1.9158950000000001,18.78824074074074
2023-06-09,209.773,1436.288,3.33637065,13191.0,1.8542714666666666,18.356921333333332
2023-06-10,86.322,1404.537,1.79681927,6451.0,1.9258460465116278,18.458123255813952
2023-06-11,70.461,1402.357,1.594519261,5826.0,1.838997105263158,18.079121052631578
2023-06-12,67.057,1397.447,1.641197174,5857.0,1.8004134285714286,17.750245714285715
2023-06-13,98.317,1419.14,2.14890586,7738.0,1.9125813636363638,19.327097727272726
2023-06-14,102.008,1428.764,2.146591964,7562.0,1.9326288679245285,19.231877358490564
2023-06-15,102.972,1388.948,2.127044356,8195.0,2.036927843137255,20.26397843137255
2023-06-16,63.878,1406.14,1.515678891,5516.0,2.040294186046512,20.124486046511628
2023-06-17,150.012,1439.678,3.1213802,11029.0,2.0242862025316457,20.20827974683544
2023-06-18,61.667,1384.458,1.299280633,5018.0,1.8331094736842104,18.110205263157894
